Year,Country,Type,Events,Athletes,"Cost, Billion USD"
1964,Japan,Summer,163,5152,0.282
1972,Germany,Summer,195,7234,1.009
1976,Canada,Summer,198,6048,6.093
1980,Soviet Union,Summer,203,5179,6.331
1984,United States,Summer,221,6829,0.719
1992,Spain,Summer,257,9356,9.687
1996,United States,Summer,271,10318,4.143
2000,Australia,Summer,300,10651,5.026
2004,Greece,Summer,301,10625,2.942
2008,China,Summer,302,10942,6.81
2012,United Kingdom,Summer,302,10568,14.957
2016,Brazil,Summer,306,10500,4.557
1964,Austria,Winter,34,1091,0.022
1968,France,Winter,35,1158,0.888
1972,Japan,Winter,35,1006,0.117
1976,Austria,Winter,37,1123,0.118
1980,United States,Winter,38,1072,0.435
1988,Canada,Winter,46,1432,1.109
1992,France,Winter,57,1801,1.997
1994,Norway,Winter,61,1737,2.228
1998,Japan,Winter,68,2176,2.227
2002,United States,Winter,78,2399,2.52
2006,Italy,Winter,84,2508,4.366
2010,Canada,Winter,86,2566,2.54
2014,Russia,Winter,98,2780,21.89
